"","RECID","EPINO","WGHTEPI","WGHTFIN","DDAY","TOTEPISO","ACTCODE","STARTIME","ENDTIME","STARMIN","ENDMIN","DURATION","PLACE","ALONE","SPOUSE","CHILDHSD","PARHSD","MEMBHSD","NHSDCL15","NHSDC15P","NHSDPAR","OTHFAM","FRIENDS","OTHERS","HELP","HELP65","HELPLIM","HELPREL","ORGCON","ENJOYAC"
"14",449,9,1122.7995,NA,3,20,950,1230,1255,750,775,25,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"15",2564,5,2776.3641,NA,3,15,751,1500,1600,900,960,60,3,2,2,2,2,2,2,2,2,2,1,2,7,7,7,97,7,2
"16",8395,11,6321.0822,NA,6,33,301,1247,1255,767,775,8,4,1,2,2,2,2,2,2,2,2,2,2,3,7,7,97,7,2
"17",9050,13,5512.4134,NA,3,16,590,1730,1733,1050,1053,3,7,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"18",3782,8,2553.5765,NA,4,21,911,1230,1330,750,810,60,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"19",3981,15,2551.8514,NA,7,18,751,2055,2300,1255,1380,125,3,2,2,1,2,2,2,2,2,2,1,2,7,7,7,97,7,2
"20",3774,8,1241.6002,NA,7,27,390,900,910,540,550,10,7,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"21",521,21,1198.3162,NA,5,26,792,2030,2035,1230,1235,5,7,2,2,2,2,2,2,2,2,2,1,2,7,7,7,97,7,2
"22",4042,11,3625.2186,NA,4,23,400,1500,1515,900,915,15,1,8,8,8,8,8,8,8,8,8,8,8,7,7,7,97,7,2
"23",3694,12,1520.6654,NA,2,19,400,1620,1630,980,990,10,1,8,8,8,8,8,8,8,8,8,8,8,7,7,7,97,7,2
"24",1947,10,1484.5342,NA,4,20,101,1735,1835,1055,1115,60,1,2,2,2,1,2,2,2,2,2,2,2,3,7,7,97,7,2
"25",5730,11,3290.0702,NA,3,17,430,1715,1800,1035,1080,45,1,2,1,1,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"26",6170,12,4786.5795,NA,6,33,101,1150,1155,710,715,5,1,1,2,2,2,2,2,2,2,2,2,2,3,7,7,97,7,2
"27",6989,8,4236.2162,NA,7,9,792,1630,1650,990,1010,20,7,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"28",3854,8,2150.4425,NA,2,24,11,900,1230,540,750,210,2,2,2,2,2,2,2,2,2,2,2,1,7,7,7,97,7,2
"29",4279,13,2085.6202,NA,3,20,753,1530,1545,930,945,15,4,2,2,2,2,2,2,2,2,2,1,2,7,7,7,97,7,2
"30",6839,13,521.9748,NA,5,15,440,2120,2230,1280,1350,70,4,2,2,2,2,2,2,2,2,2,1,2,7,7,7,97,7,2
"31",6839,11,521.9748,NA,5,15,440,1935,2115,1175,1275,100,4,2,2,2,2,2,2,2,2,2,1,2,7,7,7,97,7,1
"32",8816,7,544.571,NA,4,33,200,630,640,390,400,10,1,2,2,1,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"33",6511,4,1990.9321,NA,3,19,590,825,830,505,510,5,7,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"34",7680,8,701.9984,NA,4,21,440,1130,1300,690,780,90,4,2,2,2,2,2,2,2,2,2,1,1,7,7,7,97,7,2
"35",5561,7,4946.401,NA,3,19,390,1415,1420,855,860,5,7,2,2,2,2,1,2,2,2,2,2,2,7,7,7,97,7,2
"36",7055,17,4753.3187,NA,4,19,792,2130,2145,1290,1305,15,7,2,2,2,2,2,2,2,2,2,1,2,7,7,7,97,7,2
"37",2319,6,9344.144,NA,6,19,332,1105,1110,665,670,5,4,1,2,2,2,2,2,2,2,2,2,2,3,7,7,97,7,2
"38",6685,13,1776.7562,NA,4,26,302,1310,1500,790,900,110,4,2,2,2,2,2,2,2,2,2,1,1,3,7,7,97,7,2
"39",3667,7,3748.7459,NA,4,29,390,915,920,555,560,5,7,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,9
"40",9433,9,1085.4209,NA,4,21,90,1400,1405,840,845,5,7,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"41",2782,5,681.493,NA,5,23,470,1100,1200,660,720,60,1,2,2,2,2,2,2,2,2,2,1,2,7,7,7,97,7,2
"42",3645,2,2025.3557,NA,1,22,400,800,815,480,495,15,1,8,8,8,8,8,8,8,8,8,8,8,7,7,7,97,7,2
"43",8092,6,661.7996,NA,2,12,793,1730,1732,1050,1052,2,7,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,9
"44",9767,11,726.7545,NA,4,17,430,1400,1430,840,870,30,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"45",5225,22,3131.8804,NA,3,30,172,1835,1840,1115,1120,5,1,1,2,2,2,2,2,2,2,2,2,2,3,7,7,97,7,2
"46",1820,14,440.7961,NA,3,31,291,1325,1335,805,815,10,7,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"47",4870,2,1229.1967,NA,7,15,950,800,805,480,485,5,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"48",1781,5,915.3108,NA,6,22,500,915,1200,555,720,165,4,2,2,2,2,2,2,2,2,2,2,1,7,7,7,97,7,2
"49",7068,18,2934.0061,NA,5,20,911,2115,2315,1275,1395,120,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"50",10405,17,927.9372,NA,6,20,807,1915,2100,1155,1260,105,4,2,2,2,2,2,2,2,2,2,2,1,7,7,7,97,7,1
"51",8627,5,3168.6558,NA,6,18,911,800,900,480,540,60,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"52",4139,9,2134.8406,NA,7,26,491,1145,1147,705,707,2,7,2,1,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
